"YEAR","GINI","gdp","L_gdp","D_L_gdp","gov_gdp","D_gov_gdp","serv_gdp","D_serv_gdp","infl","unemp","m_unemp","lfpr","D_lfpr","fem_lfpr","D_fem_lfpr","hs","col","hs_fem","col_fem"
1977,0.402,6682804,15.7150482179171,0.0452045674853281,26.0208738727037,-0.879148781140053,32.3557780525366,0.256005018094605,6.29906111934515,7.05,5.2,62.2333333333333,0.650000000000006,48.4333333333333,1.13333333333333,36.0734673616282,15.4107719036982,39.5790658765031,12.0416555908245
1978,0.402,7052711,15.7689226398794,0.0538744219622824,25.3631405001566,-0.657733372547128,32.2625583698581,-0.0932196826784448,7.35381883614261,6.06666666666667,4.25,63.15,0.916666666666664,49.9583333333333,1.52500000000001,36.0765410221185,15.714645705135,39.5732522236048,12.1879656512589
1979,0.404,7275999,15.800091681182,0.0311690413026184,25.0272024501378,-0.335938050018832,32.2563603471657,-0.00619802269238789,10.6649924176772,5.85,4.14166666666667,63.65,0.5,50.9416666666667,0.983333333333327,36.6455165808691,16.4244383255517,40.2132440543516,12.9002096246362
1980,0.403,7257316,15.7975206214765,-0.00257105970547755,25.5457802857144,0.518577835576668,33.2786781399409,1.02231779277512,12.7066054577251,7.175,6,63.775,0.125,51.475,0.533333333333339,36.7566655675605,17.017997224118,40.3564184294407,13.5641842944074
1981,0.406,7441485,15.8225809836667,0.0250603621901728,25.1544550583654,-0.391325227349075,33.1951789827445,-0.0834991571963286,9.83484263851082,7.61666666666667,6.325,63.875,0.100000000000001,52.1166666666667,0.641666666666666,37.5585971301515,17.0610764565572,41.0512856939906,13.4479329450206
1982,0.412,7307314,15.8043863223422,-0.0181946613244879,26.0766815275763,0.922226469210976,35.0490416709906,1.85386268824607,5.95080174718872,9.70833333333333,8.81666666666667,63.9916666666667,0.116666666666667,52.6333333333333,0.516666666666666,37.9454864749199,17.7456724171008,41.3547559989967,14.0408572782252
1983,0.414,7642266,15.8492047140252,0.0448183916829947,25.8642920830026,-0.212389444573738,35.9880936853164,0.939052014325839,3.16191562456121,9.6,8.93333333333333,64.0083333333333,0.0166666666666586,52.9083333333333,0.274999999999999,37.7191711346182,18.7762643095204,41.1033198203134,15.0514955626164
1984,0.415,8195295,15.9190707670717,0.0698660530464679,24.9657882968215,-0.898503786181077,35.3832821521032,-0.604811533213208,4.21063099961971,7.50833333333333,6.56666666666667,64.3666666666667,0.358333333333334,53.5666666666667,0.658333333333339,38.4057559270992,19.0789380229271,41.7535328569126,15.6506904518833
1985,0.419,8537004,15.959920684541,0.0408499174693464,25.5658893916414,0.600101094819848,36.3039553775208,0.920673225417609,3.48423358030567,7.19166666666667,6.15833333333333,64.8083333333333,0.441666666666677,54.4583333333333,0.891666666666666,38.2277528496976,19.375156768206,41.3287931580615,16.0041178333861
1986,0.425,8832611,15.9939612253598,0.0340405408187898,26.0519114902717,0.486022098630297,36.9167515898115,0.612796212290654,1.88025952969264,7,6.14166666666667,65.2416666666667,0.433333333333337,55.3,0.841666666666661,38.4281680149516,19.4323561109368,41.6046276361184,16.0812949080439
1987,0.426,9137745,16.0279241952662,0.0339629699064261,25.9128483011947,-0.139063189077014,37.4850959226316,0.568344332820146,3.59901468109101,6.175,5.40833333333333,65.575,0.333333333333329,55.9916666666667,0.69166666666667,38.6666577267607,19.8713994528778,41.6366115691947,16.5458090662317
1988,0.426,9519427,16.0688452158805,0.0409210206142632,25.1826606790514,-0.730187622143283,38.0545515864028,0.569455663771173,3.99679445548484,5.49166666666667,4.75833333333333,65.9083333333333,0.333333333333329,56.5916666666667,0.600000000000001,38.869654103604,20.3033600422066,41.7728663890422,16.9572525211981
1989,0.431,9869003,16.1049093931363,0.0360641772557813,24.980223432904,-0.202437246147365,38.1622346931179,0.107683106715072,4.71412152104236,5.25833333333333,4.50833333333333,66.4416666666667,0.533333333333331,57.4,0.80833333333333,38.4911290584152,21.124841879926,41.3196589645373,18.1045347831459
1990,0.428,10055129,16.1235934105447,0.0186840174084182,25.3024003968522,0.322176963948181,38.8669634675936,0.704728774475718,5.25730613154902,5.61666666666667,5.00833333333333,66.5333333333333,0.0916666666666686,57.525,0.125,38.4053712197677,21.2670405907831,41.0309805640801,18.4202835013883
1991,0.428,10044238,16.1225096947176,-0.00108371582706113,25.6339803975175,0.331580000665269,39.720100049869,0.85313658227544,4.14774337326067,6.85,6.43333333333333,66.1666666666667,-0.36666666666666,57.3916666666667,-0.133333333333333,38.6101553933986,21.4412643200121,40.961697934068,18.8109173507037
1992,0.433,10398046,16.1571284618437,0.0346187671260694,24.8764719832938,-0.757508414223679,40.4012099393175,0.681109889448415,2.98385658045515,7.49166666666667,7.11666666666667,66.4416666666667,0.274999999999991,57.8333333333333,0.44166666666667,35.9765462266908,21.3502707878652,38.0851770961922,18.6461399677144
1993,0.454,10684179,16.1842746070964,0.0271461452526616,24.0120087842033,-0.864463199090522,40.9654127054969,0.56420276617942,2.9089342221515,6.90833333333333,6.40833333333333,66.3,-0.141666666666666,57.9333333333333,0.100000000000001,35.3684301033005,21.8576885755346,37.3592702597997,19.2026390861812
1994,0.456,11114647,16.2237743459917,0.0394997388953691,23.101552392982,-0.910456391221278,40.8167239266026,-0.148688778894254,2.57402742563535,6.1,5.39166666666667,66.575,0.275000000000006,58.7916666666667,0.858333333333327,34.3531170978409,22.2135771250729,36.1869424121527,19.5852186151466
1995,0.45,11413012,16.2502646659678,0.0264903199760411,22.6124970340871,-0.489055358894927,41.1931988865079,0.376474959905295,2.76678863488939,5.59166666666667,4.81666666666667,66.625,0.0499999999999972,58.95,0.158333333333339,33.91653348394,22.967110876122,35.7252083932164,20.2288013797068
1996,0.455,11843599,16.2872981108253,0.0370334448575704,21.9925125800021,-0.619984454084982,41.2098937684826,0.0166948819747077,2.88906586943618,5.40833333333333,4.60833333333333,66.7666666666667,0.141666666666666,59.275,0.324999999999996,33.6014686050035,23.5665951771297,35.1325240952901,21.382296781233
1997,0.459,12370299,16.3308089154589,0.0435108046335912,21.401382456479,-0.591130123523051,41.1572555899399,-0.0526381785427503,2.31078447020758,4.94166666666667,4.15,67.1083333333333,0.341666666666669,59.8083333333333,0.533333333333331,33.7587421811339,23.857873971896,35.2514022998842,21.7207540382864
1998,0.456,12924876,16.3746643845023,0.0438554690433755,20.9799923805845,-0.421390075894482,41.5854033023066,0.42814771236668,1.54035449055501,4.5,3.69166666666667,67.0833333333333,-0.0250000000000057,59.85,0.0416666666666714,33.7806528038279,24.3730075314585,35.1744865586909,22.4211053598263
1999,0.458,13543774,16.4214375163003,0.0467731317980089,20.6749241385747,-0.30506824200987,41.4975041459129,-0.0878991563936822,2.16443342042876,4.21666666666667,3.45833333333333,67.0833333333333,0,60.0416666666667,0.191666666666663,33.3431172807532,25.2097793432094,34.7501568744014,23.1414511707784
2000,0.462,14096033,16.461403968245,0.0399664519447214,20.2267191060066,-0.448205032568037,42.0839742494161,0.586470103503174,3.32109335450292,3.96666666666667,3.3,67.0666666666667,-0.0166666666666657,59.9416666666667,-0.100000000000001,33.1484334874165,25.5920789819095,34.3101942807247,23.5690897184021
2001,0.466,14230726,16.4709139877386,0.00951001949357888,20.7906539694461,0.563934863439478,42.9808969612251,0.896922711809069,2.78697175004847,4.74166666666667,4.21666666666667,66.8333333333333,-0.233333333333334,59.7916666666667,-0.149999999999991,32.3035218333712,26.1811973013876,33.2113730605665,24.3019100039239
2002,0.462,14472712,16.4877755032992,0.0168615155606382,21.3540834641082,0.563429494662067,43.4631627759557,0.48226581473061,1.57358557134168,5.78333333333333,5.3,66.5833333333333,-0.25,59.6166666666667,-0.175000000000004,32.0936412249783,26.735184636163,33.1164736300002,25.0856578311227
2003,0.464,14877312,16.5153479258896,0.0275724225903815,21.1992999810718,-0.154783483036329,43.8019805437112,0.338817767755451,2.24471174825833,5.99166666666667,5.65,66.2416666666667,-0.341666666666654,59.4916666666667,-0.125,32.0180578130822,27.2071410442643,33.0648334127099,25.6600335452343
2004,0.466,15449757,16.553103833029,0.0377559071393705,20.7265136920924,-0.472786288979474,43.6265326348206,-0.175447908890554,2.64202578207327,5.54166666666667,5.04166666666667,65.9833333333333,-0.25833333333334,59.15,-0.341666666666669,32.0057150195852,27.6916243926454,32.8003781378765,26.1130919964241
2005,0.469,15987957,16.5873463092926,0.0342424762635964,20.1788946517682,-0.547619040324172,43.6080764789427,-0.0184561558779421,3.33646270639125,5.08333333333333,4.41666666666667,66.0333333333333,0.0499999999999972,59.2333333333333,0.0833333333333357,32.1560778805177,27.6611025152218,32.2361806493546,26.5286847370185
